300000001,3
300000002,2
300000003,1
300000004,1
300000005,1
300000006,1
300000007,2
300000008,3
300000009,1
300000010,1
300000011,1
300000012,2
300000013,4
300000014,2
300000015,4
300000016,4
300000017,2
300000018,2
300000019,2
300000020,2
300000021,3
300000022,2
300000023,5
300000024,5
300000025,5
300000026,1
300000027,3
300000028,2
300000029,2
300000030,2
300000031,3
300000032,2
300000033,2
300000034,5
300000035,1
300000036,1
300000037,1
300000038,1
300000039,2
300000040,3
300000041,1
300000042,1
300000043,1
300000044,1
300000045,1
300000046,1
300000047,5
300000048,5
300000049,3
300000050,3
300000051,3
300000052,5
300000053,5
300000054,2
300000055,2
300000056,2
300000057,2
300000058,4
300000059,1
300000060,4
300000061,5
300000062,4
300000063,4
300000064,2
300000065,3
300000066,2
300000067,1
300000068,2
300000069,2
300000070,1
300000071,5
300000072,1
300000073,1
300000074,1
300000075,5
300000076,1
300000077,1
300000078,1
300000079,1
300000080,2
300000081,2
300000082,2
300000083,1
300000084,2
300000085,1
300000086,1
300000087,1
300000088,1
300000089,2
300000090,5
300000091,5
300000092,5
300000093,5
300000094,5
300000095,5
300000096,2
300000097,2
300000098,5
300000099,5
300000100,3
300000101,1
300000102,1
300000103,1
300000104,2
300000105,5
300000106,2
300000107,3
300000108,1
300000109,1
300000110,1
300000111,4
300000112,1
300000113,2
300000114,5
300000115,5
300000116,5
300000117,2
300000118,5
300000119,1
300000120,2
300000121,5
300000122,3
300000123,4
300000124,2
300000125,1
300000126,5
300000127,3
300000128,1
300000129,2
300000130,2
300000131,1
300000132,1
300000133,2
300000134,5
300000135,3
300000136,3
300000137,2
300000138,5
300000139,5
300000140,5
300000141,2
300000142,5
300000143,5
300000144,5
300000145,2
300000146,5
300000147,1
300000148,1
300000149,3
300000150,5
300000151,1
300000152,3
300000153,3
300000154,1
300000155,1
300000156,1
300000157,1
300000158,1
300000159,1
300000160,5
300000161,1
300000162,4
300000163,3
300000164,4
300000165,4
300000166,4
300000167,4
300000168,4
300000169,5
300000170,2
300000171,4
300000172,3
300000173,3
300000174,4
300000175,1
300000176,3
300000177,2
300000178,1
300000179,2
300000180,3
300000181,1
300000182,2
300000183,2
300000184,1
300000185,1
300000186,5
300000187,2
300000188,1
300000189,2
300000190,3
300000191,2
300000192,1
300000193,2
300000194,5
300000195,2
300000196,1
300000197,1
300000198,1
300000199,1
300000200,1
300000201,1
300000202,1
300000203,2
300000204,2
300000205,2
300000206,3
300000207,3
300000208,2
300000209,1
300000210,3
300000211,3
300000212,2
300000213,1
300000214,3
300000215,2
300000216,2
300000217,2
300000218,2
300000219,1
300000220,2
300000221,2
300000222,2
300000223,2
300000224,4
300000225,1
300000226,1
300000227,1
300000228,3
300000229,1
300000230,4
300000231,1
300000232,2
300000233,2
300000234,2
300000235,3
300000236,3
300000237,2
300000238,3
300000239,3
300000240,3
300000241,1
300000242,3
300000243,1
300000244,1
300000245,3
300000246,3
300000247,3
300000248,3
300000249,3
300000250,5
300000251,3
300000252,3
300000253,2
300000254,2
300000255,3
300000256,2
300000257,5
300000258,5
300000259,1
300000260,4
300000261,2
300000262,4
300000263,1
300000264,5
300000265,2
300000266,5
300000267,1
300000268,1
300000269,1
300000270,1
300000271,1
300000272,1
300000273,3
