300000219,52,"LOW"
300000220,131,"LOW"
300000221,131,"LOW"
300000222,131,"LOW"
300000223,131,"LOW"
300000224,43,"LOW"
300000225,58,"LOW"
300000226,38,"LOW"
300000227,5,"LOW"
300000228,57,"HIGH"
300000229,43,"HIGH"
300000230,11,"LOW"
300000231,62,"HIGH"
300000232,11,"LOW"
300000233,136,"LOW"
300000234,28,"HIGH"
300000235,43,"LOW"
300000236,52,"LOW"
300000237,54,"HIGH"
300000238,43,"LOW"
300000239,134,"HIGH"
300000240,53,"LOW"
300000241,48,"HIGH"
300000242,57,"HIGH"
300000243,53,"HIGH"
300000244,25,"LOW"
300000245,45,"HIGH"
300000246,11,"HIGH"
300000247,53,"LOW"
300000248,1,"HIGH"
300000249,136,"HIGH"
300000250,18,"HIGH"
300000251,62,"HIGH"
300000252,134,"HIGH"
300000253,14,"HIGH"
300000254,14,"HIGH"
300000255,62,"LOW"
300000256,11,"LOW"
300000257,52,"LOW"
300000258,52,"LOW"
300000259,21,"HIGH"
300000260,8,"HIGH"
300000261,43,"LOW"
300000262,43,"LOW"
300000263,128,"HIGH"
300000264,52,"LOW"
300000265,28,"HIGH"
300000266,65,"HIGH"
300000267,36,"LOW"
300000268,21,"HIGH"
300000269,48,"LOW"
300000270,48,"LOW"
300000271,52,"LOW"
300000272,58,"LOW"
300000273,131,"LOW"
300000274,54,"HIGH"
300000275,47,"HIGH"
300000276,53,"LOW"
300000277,53,"LOW"
300000278,47,"LOW"
300000279,67,"HIGH"
300000279,62,"HIGH"
300000280,131,"LOW"
300000281,25,"LOW"
300000282,54,"HIGH"
300000283,134,"HIGH"
300000284,55,"HIGH"
300000285,44,"HIGH"
300000286,39,"LOW"
300000287,39,"LOW"
300000288,131,"LOW"
300000289,25,"LOW"
300000290,14,"HIGH"
300000291,52,"LOW"
300000292,11,"LOW"
300000293,54,"HIGH"
300000294,18,"HIGH"
300000295,52,"LOW"
300000296,130,"HIGH"
300000297,54,"LOW"
300000298,137,"LOW"
300000299,43,"LOW"
300000300,43,"LOW"
300000301,137,"LOW"
300000302,54,"LOW"
300000303,11,"LOW"
300000304,131,"HIGH"
300000305,62,"LOW"
300000306,10,"HIGH"
300000307,47,"LOW"
300000308,47,"LOW"
300000309,52,"LOW"
300000309,58,"LOW"
300000310,54,"LOW"
300000311,48,"LOW"
300000312,43,"LOW"
300000313,48,"LOW"
300000314,43,"LOW"
300000315,43,"LOW"
300000316,48,"LOW"
300000317,48,"LOW"
300000318,11,"LOW"
300000319,11,"LOW"
300000320,131,"LOW"
300000321,131,"LOW"
300000322,48,"LOW"
300000323,129,"HIGH"
300000324,21,"HIGH"
300000325,47,"LOW"
300000326,67,"HIGH"
300000326,62,"HIGH"
300000327,67,"HIGH"
300000327,62,"HIGH"
300000328,47,"LOW"
300000329,21,"HIGH"
300000330,47,"HIGH"
300000331,47,"HIGH"
300000332,47,"HIGH"
300000333,52,"LOW"
300000334,52,"LOW"
300000335,22,"HIGH"
300000336,57,"HIGH"
300000337,48,"LOW"
300000338,52,"LOW"
300000338,58,"LOW"
300000339,39,"HIGH"
300000340,39,"HIGH"
300000341,52,"LOW"
300000342,52,"LOW"
300000343,52,"LOW"
300000344,47,"LOW"
300000345,52,"LOW"
300000346,11,"LOW"
300000347,62,"HIGH"
300000348,52,"LOW"
300000349,52,"LOW"
300000350,47,"LOW"
300000351,11,"LOW"
300000352,11,"LOW"
300000353,6,"HIGH"
300000354,11,"LOW"
300000355,52,"LOW"
300000356,11,"LOW"
300000357,25,"LOW"
300000358,27,"LOW"
300000359,18,"HIGH"
300000360,11,"LOW"
300000361,136,"HIGH"
300000362,52,"LOW"
300000362,58,"LOW"
300000363,136,"HIGH"
300000364,25,"LOW"
300000365,48,"HIGH"
300000366,138,"HIGH"
300000367,134,"HIGH"
300000368,52,"LOW"
300000369,134,"HIGH"
300000370,129,"HIGH"
300000371,40,"HIGH"
300000372,66,"HIGH"
300000373,48,"LOW"
300000374,52,"LOW"
300000375,27,"LOW"
300000376,52,"LOW"
300000377,52,"LOW"
300000378,8,"HIGH"
300000379,131,"LOW"
300000380,8,"LOW"
300000381,49,"LOW"
300000382,131,"LOW"
300000383,137,"LOW"
300000384,52,"LOW"
300000384,58,"LOW"
300000385,52,"LOW"
300000385,58,"LOW"
300000386,11,"LOW"
300000387,54,"HIGH"
300000388,62,"HIGH"
300000389,134,"HIGH"
300000390,129,"HIGH"
300000391,25,"LOW"
300000392,36,"LOW"
300000393,59,"HIGH"
300000394,129,"HIGH"
300000395,131,"HIGH"
300000396,36,"LOW"
300000397,25,"LOW"
300000398,136,"LOW"
300000399,21,"HIGH"
300000400,58,"LOW"
300000401,54,"LOW"
300000402,54,"HIGH"
300000403,131,"LOW"
300000404,43,"LOW"
300000405,52,"LOW"
300000406,136,"LOW"
300000407,130,"HIGH"
300000408,11,"LOW"
300000409,54,"HIGH"
300000410,52,"LOW"
300000411,14,"HIGH"
300000412,43,"LOW"
300000413,49,"LOW"
300000414,52,"LOW"
300000414,58,"LOW"
300000415,53,"LOW"
300000416,51,"HIGH"
300000417,29,"HIGH"
300000418,65,"HIGH"
300000419,131,"LOW"
300000420,54,"LOW"
300000421,131,"LOW"
300000422,54,"LOW"
300000423,66,"HIGH"
300000424,54,"LOW"
300000425,131,"LOW"
300000426,54,"LOW"
300000427,131,"LOW"
300000428,128,"HIGH"
300000429,52,"LOW"
300000429,58,"LOW"
300000430,11,"LOW"
300000431,52,"LOW"
300000432,38,"LOW"
300000433,10,"HIGH"
300000434,21,"HIGH"
300000435,11,"LOW"
300000436,36,"LOW"
300000437,131,"LOW"
300000438,131,"LOW"
300000439,54,"LOW"
300000440,11,"LOW"
300000441,11,"LOW"
300000442,52,"LOW"
300000443,25,"LOW"
300000444,131,"LOW"
300000445,130,"HIGH"
300000446,130,"HIGH"
300000447,47,"HIGH"
300000448,54,"LOW"
300000449,11,"LOW"
300000450,131,"LOW"
300000451,49,"LOW"
300000452,51,"HIGH"
300000453,131,"LOW"
300000454,52,"LOW"
300000454,58,"LOW"
300000455,57,"HIGH"
300000456,54,"LOW"
300000457,52,"LOW"
300000458,131,"LOW"
300000459,58,"LOW"
300000460,52,"LOW"
300000461,51,"HIGH"
300000462,38,"LOW"
300000463,49,"LOW"
300000464,49,"LOW"
300000465,18,"HIGH"
300000466,67,"HIGH"
